IID,trait1,trait2,trait3,trait4,trait5
PSEUDO_0001,0.223080,1.433215,0.091520,0.580777,-0.056783
PSEUDO_0002,-0.170408,-0.779482,0.430301,-0.851537,0.665585
PSEUDO_0003,1.085287,0.366531,-0.286249,0.453966,-0.308673
PSEUDO_0004,0.935547,-1.831406,-0.335607,-1.990812,-1.495061
PSEUDO_0005,1.363862,0.895185,-0.719480,-1.502503,-2.964529
PSEUDO_0006,-0.543496,2.420415,0.434884,-0.559572,0.465080
PSEUDO_0007,-1.560958,-0.297323,0.099477,-0.086101,0.790806
PSEUDO_0008,0.344645,0.668326,-0.688372,0.897815,1.628937
PSEUDO_0009,-0.970150,-0.887696,1.335784,-0.191344,1.403821
PSEUDO_0010,-0.442536,1.455046,0.131486,0.258229,1.564718
PSEUDO_0011,-0.361770,-0.941122,-0.448564,0.452334,-1.565759
PSEUDO_0012,0.637471,-0.538771,1.147813,-2.394260,-0.786566
PSEUDO_0013,-1.686468,-0.826229,0.247666,-0.179227,-0.253378
PSEUDO_0014,-0.159185,0.203388,-1.008536,0.706850,0.662666
PSEUDO_0015,0.385038,0.556533,0.296418,2.035073,-0.087094
PSEUDO_0016,-0.307083,-0.753528,-1.032263,-1.244472,-0.888797
PSEUDO_0017,-0.070680,0.334295,0.051142,-0.765535,0.900185
PSEUDO_0018,0.739413,-0.159648,-0.652916,0.548428,0.187974
PSEUDO_0019,-1.448127,-0.067980,0.262036,-0.899695,0.189843
PSEUDO_0020,-1.454822,1.336186,1.247950,-0.252517,0.363454
PSEUDO_0021,-2.409922,-1.156348,-0.293779,-1.072133,0.714396
PSEUDO_0022,1.997297,-1.176615,-0.837463,0.235448,1.611116
PSEUDO_0023,-1.222374,0.249036,1.821299,-1.651759,-1.281069
PSEUDO_0024,-0.423607,-0.520588,0.812601,0.241660,-1.774962
PSEUDO_0025,0.515410,-0.577539,1.274447,-0.627588,-0.636615
PSEUDO_0026,0.541132,0.762926,0.448099,-1.685597,0.538034
PSEUDO_0027,-1.034308,0.235276,-1.423734,0.446322,-0.806599
